"V1"	"V2"	"V3"	"V4"	"V5"
0.47	0.2	0.023	0.115	0.741344799466232
0.48	0.199	0.017	0.085427135678392	0.722270615563298
0.49	0.232	0.03	0.129310344827586	0.824859560548958
0.5	0.257	0.033	0.1284046692607	0.895470383275261
0.51	0.279	0.025	0.0896057347670251	0.953064152490264
0.52	0.264	0.038	0.143939393939394	0.88448137228625
0.53	0.296	0.034	0.114864864864865	0.972980080205115
0.54	0.229	0.023	0.100436681222707	0.73880500709769
0.55	0.219	0.022	0.100456621004566	0.693696547355084
0.56	0.247	0.035	0.1417004048583	0.76841712294674
0.57	0.249	0.018	0.072289156626506	0.761048963873097
0.58	0.268	0.038	0.141791044776119	0.804998197765229
0.59	0.276	0.029	0.105072463768116	0.814976672769149
0.6	0.27	0.037	0.137037037037037	0.78397212543554
0.61	0.319	0.034	0.106583072100313	0.911064145770263
0.62	0.292	0.042	0.143835616438356	0.820501292570529
0.63	0.321	0.061	0.190031152647975	0.887672142027543
0.64	0.304	0.054	0.177631578947368	0.827526132404181
0.65	0.3	0.043	0.143333333333333	0.804073974805682
0.66	0.36	0.034	0.0944444444444444	0.95026924295217
0.67	0.397	0.071	0.178841309823678	1.03229497113734
0.68	0.292	0.035	0.11986301369863	0.748104119696659
0.69	0.321	0.043	0.133956386292835	0.810483260112104
0.7	0.327	0.063	0.192660550458716	0.813837730214037
0.71	0.344	0.041	0.119186046511628	0.844088923786622
0.72	0.351	0.052	0.148148148148148	0.849303135888502
0.73	0.382	0.054	0.141361256544503	0.911650995179228
0.74	0.37	0.044	0.118918918918919	0.871080139372822
0.75	0.354	0.068	0.192090395480226	0.822299651567944
0.76	0.375	0.045	0.12	0.859618558591601
0.77	0.363	0.036	0.0991735537190083	0.821304131408661
0.78	0.402	0.063	0.156716417910448	0.897882605199678
0.79	0.374	0.072	0.192513368983957	0.824769549684647
0.8	0.373	0.068	0.18230563002681	0.812282229965157
0.81	0.392	0.066	0.168367346938776	0.843119542306534
0.82	0.405	0.058	0.14320987654321	0.860457210843885
0.83	0.401	0.076	0.189526184538653	0.841694303345787
0.84	0.381	0.06	0.15748031496063	0.79019412643106
0.85	0.378	0.056	0.148148148148148	0.774748923959828
0.86	0.381	0.032	0.083989501312336	0.77181751883964
0.87	0.408	0.1	0.245098039215686	0.817013096239337
0.88	0.458	0.074	0.161572052401747	0.906715235983529
0.89	0.391	0.054	0.138107416879795	0.765376032572525
