"V1"	"V2"	"V3"	"V4"	"V5"
48.34	0.228	0.224	0.982456140350877	0.00821705716909406
48.35	0.217	0.203	0.935483870967742	0.00781900269881706
48.36	0.227	0.211	0.929515418502203	0.00817763406276388
48.37	0.18	0.179	0.994444444444444	0.00648312694178656
48.38	0.187	0.186	0.994652406417112	0.00673385638952946
48.39	0.193	0.176	0.911917098445596	0.00694847972304008
48.4	0.271	0.254	0.937269372693727	0.00975465775909235
48.41	0.218	0.203	0.931192660550459	0.00784529933415721
48.42	0.209	0.203	0.971291866028708	0.00751985746092193
48.43	0.179	0.175	0.977653631284916	0.00643912223612369
48.44	0.166	0.153	0.921686746987952	0.00597024372980547
48.45	0.195	0.187	0.958974358974359	0.00701179059557071
48.46	0.174	0.139	0.798850574712644	0.00625538358443545
48.47	0.167	0.158	0.946107784431138	0.00600249157314881
48.48	0.187	0.187	1	0.00671996642172928
48.49	0.168	0.152	0.904761904761905	0.00603594404679869
48.5	0.164	0.149	0.908536585365854	0.00589101620029455
48.51	0.193	0.187	0.968911917098446	0.00693129115229663
48.52	0.177	0.167	0.943502824858757	0.00635536622708119
48.53	0.127	0.125	0.984251968503937	0.00455912539461564
48.54	0.179	0.155	0.865921787709497	0.00642453007613248
48.55	0.166	0.163	0.981927710843373	0.00595671691599953
48.56	0.195	0.192	0.984615384615385	0.00699590721489705
48.57	0.208	0.204	0.980769230769231	0.00746076462794099
48.58	0.173	0.163	0.942196531791908	0.00620407015691635
48.59	0.193	0.187	0.968911917098446	0.00691987927141201
48.6	0.202	0.188	0.930693069306931	0.00724107770178231
48.61	0.207	0.198	0.956521739130435	0.00741878579922544
48.62	0.192	0.187	0.973958333333333	0.0068797773245406
48.63	0.178	0.168	0.943820224719101	0.00637681533244344
48.64	0.204	0.193	0.946078431372549	0.00730675774802861
48.65	0.163	0.147	0.901840490797546	0.00583704266054553
48.66	0.213	0.196	0.92018779342723	0.00762597902533544
48.67	0.19	0.182	0.957894736842105	0.00680111881984123
48.68	0.175	0.169	0.965714285714286	0.00626290157724913
48.69	0.226	0.216	0.955752212389381	0.00808642889703257
48.7	0.208	0.205	0.985576923076923	0.00744084882913951
