"V1"	"V2"	"V3"	"V4"	"V5"
1.48	0.699	0.194	0.277539341917024	0.822817591110274
1.49	0.699	0.153	0.218884120171674	0.817295325398125
1.5	0.669	0.186	0.278026905829596	0.777003484320557
1.51	0.655	0.161	0.245801526717557	0.75570528647576
1.52	0.586	0.161	0.274744027303754	0.671648633779571
1.53	0.666	0.168	0.252252252252252	0.758352121336339
1.54	0.727	0.161	0.221458046767538	0.822435404316937
1.55	0.757	0.208	0.274768824306473	0.850848600651905
1.56	0.626	0.158	0.252396166134185	0.699097650317162
1.57	0.6	0.168	0.28	0.665793737100246
1.58	0.67	0.184	0.274626865671642	0.738764168835178
1.59	0.728	0.185	0.254120879120879	0.797668354042031
1.6	0.734	0.202	0.275204359673025	0.799216027874564
1.61	0.639	0.178	0.278560250391236	0.691453675849979
1.62	0.705	0.181	0.256737588652482	0.758162343528197
1.63	0.689	0.175	0.253991291727141	0.736410081015797
1.64	0.726	0.2	0.275482093663912	0.771224611200816
1.65	0.762	0.144	0.188976377952756	0.80456129236617
1.66	0.799	0.236	0.295369211514393	0.838545820914319
1.67	0.719	0.147	0.204450625869263	0.750067808633604
1.68	0.707	0.192	0.271570014144272	0.733159117305459
1.69	0.683	0.194	0.284040995607613	0.704080159990104
1.7	0.705	0.178	0.252482269503546	0.722484115597459
1.71	0.721	0.178	0.246879334257975	0.734559977178719
1.72	0.761	0.18	0.236530880420499	0.770804634956649
1.73	0.81	0.197	0.24320987654321	0.815693540915591
1.74	0.684	0.188	0.274853801169591	0.68484921302415
1.75	0.83	0.22	0.265060240963855	0.826281732205077
1.76	0.722	0.206	0.285318559556787	0.714681659803611
1.77	0.711	0.231	0.324894514767932	0.69981692553003
1.78	0.738	0.265	0.359078590785908	0.7223113964687
1.79	0.761	0.221	0.290407358738502	0.740661436941584
1.8	0.799	0.23	0.287859824780976	0.773325590398761
1.81	0.774	0.241	0.311369509043928	0.744990086049242
1.82	0.702	0.203	0.289173789173789	0.671976107516177
1.83	0.777	0.21	0.27027027027027	0.739704118352659
1.84	0.782	0.252	0.322250639386189	0.740418118466899
1.85	0.758	0.228	0.300791556728232	0.713814860156324
1.86	0.849	0.218	0.256772673733804	0.795211869169383
1.87	0.802	0.243	0.302992518703242	0.747172483183961
1.88	0.749	0.237	0.316421895861148	0.694084068500259
1.89	0.857	0.221	0.257876312718786	0.789963681949745
1.9	0.671	0.2	0.29806259314456	0.615257656335962
1.91	0.849	0.227	0.267373380447585	0.774394804531441
1.92	0.822	0.265	0.322384428223844	0.745862369337979
1.93	0.791	0.211	0.266750948166877	0.714014912169847
1.94	0.787	0.227	0.28843710292249	0.706742339882898
1.95	0.858	0.286	0.333333333333333	0.766550522648084
1.96	0.807	0.284	0.351920693928129	0.717307829054967
1.97	0.788	0.223	0.282994923857868	0.696864111498258
1.98	0.814	0.229	0.281326781326781	0.716221447928765
1.99	0.737	0.193	0.261872455902307	0.645212123334442
2	0.783	0.237	0.302681992337165	0.68205574912892
2.01	0.704	0.195	0.276988636363636	0.610189470764644
2.02	0.805	0.238	0.295652173913043	0.694276744747645
2.03	0.812	0.28	0.344827586206897	0.696864111498258
2.04	0.779	0.22	0.282413350449294	0.665266106442577
2.05	0.85	0.225	0.264705882352941	0.722359139967706
2.06	0.891	0.27	0.303030303030303	0.75352660600115
2.07	0.771	0.208	0.269779507133593	0.648891582083523
2.08	0.834	0.242	0.290167865707434	0.698539265612436
2.09	0.871	0.238	0.273249138920781	0.726039044395912
2.1	0.827	0.276	0.333736396614268	0.68607930977269
2.11	0.85	0.232	0.272941176470588	0.701818121769573
2.12	0.808	0.25	0.309405940594059	0.66399316284268
2.13	0.813	0.223	0.274292742927429	0.664965402169112
2.14	0.812	0.247	0.304187192118227	0.661043993617506
