"V1"	"V2"	"V3"	"V4"	"V5"
1.02	0.369	0.026	0.0704607046070461	0.630252100840336
1.03	0.352	0.034	0.0965909090909091	0.595379046716958
1.04	0.399	0.033	0.0827067669172932	0.668386491557223
1.05	0.363	0.007	0.0192837465564738	0.602289696366351
1.06	0.411	0.047	0.114355231143552	0.675497994872132
1.07	0.378	0.035	0.0925925925925926	0.615454752678368
1.08	0.361	0.037	0.102493074792244	0.582333204284424
1.09	0.43	0.035	0.0813953488372093	0.687274238404245
1.1	0.332	0.041	0.123493975903614	0.525815647766867
1.11	0.426	0.062	0.145539906103286	0.668612863734815
1.12	0.364	0.047	0.129120879120879	0.566202090592334
1.13	0.419	0.052	0.124105011933174	0.645986864419845
1.14	0.363	0.021	0.0578512396694215	0.554740509811113
1.15	0.337	0.03	0.0890207715133531	0.51052870777155
1.16	0.328	0.04	0.121951219512195	0.492610837438424
1.17	0.352	0.048	0.136363636363636	0.524137109502963
1.18	0.405	0.032	0.0790123456790123	0.597944841433887
1.19	0.343	0.038	0.110787172011662	0.502152080344333
1.2	0.376	0.022	0.0585106382978723	0.545876887340302
1.21	0.37	0.038	0.102702702702703	0.532726696806519
1.22	0.471	0.044	0.0934182590233546	0.672588107614097
1.23	0.435	0.034	0.0781609195402299	0.616129854678338
1.24	0.346	0.06	0.173410404624277	0.486118916488704
1.25	0.412	0.028	0.0679611650485437	0.574216027874564
1.26	0.445	0.035	0.0786516853932584	0.615286765112549
1.27	0.418	0.06	0.143540669856459	0.573403934264314
1.28	0.481	0.033	0.0686070686070686	0.654671167247387
1.29	0.411	0.081	0.197080291970803	0.555060367879426
1.3	0.412	0.055	0.133495145631068	0.552130796033235
1.31	0.424	0.041	0.0966981132075472	0.563874777242865
1.32	0.373	0.036	0.096514745308311	0.492292260584943
1.33	0.368	0.034	0.0923913043478261	0.482041340284509
1.34	0.402	0.031	0.0771144278606965	0.522648083623693
1.35	0.398	0.061	0.153266331658291	0.513614659956123
1.36	0.434	0.051	0.117511520737327	0.555954088952654
1.37	0.453	0.038	0.0838852097130243	0.576057376840713
1.38	0.445	0.035	0.0786516853932584	0.56178356814624
1.39	0.39	0.046	0.117948717948718	0.488807560223598
1.4	0.372	0.042	0.112903225806452	0.4629168740667
1.41	0.527	0.052	0.0986717267552182	0.651147848864507
1.42	0.432	0.048	0.111111111111111	0.530009324238112
1.43	0.42	0.059	0.14047619047619	0.511683438512707
1.44	0.436	0.031	0.0711009174311927	0.52748741773132
1.45	0.442	0.023	0.0520361990950226	0.531058512555569
1.46	0.492	0.053	0.107723577235772	0.587084148727984
1.47	0.465	0.039	0.0838709677419355	0.551091516746071
1.48	0.363	0.039	0.107438016528926	0.427300122422074
1.49	0.382	0.048	0.12565445026178	0.446647803007273
1.5	0.463	0.076	0.16414686825054	0.537746806039489
1.51	0.471	0.061	0.129511677282378	0.543415557145165
1.52	0.403	0.042	0.104218362282878	0.46190170548322
1.53	0.421	0.028	0.0665083135391924	0.479378743367266
1.54	0.466	0.039	0.0836909871244635	0.527173175256799
1.55	0.416	0.051	0.122596153846154	0.467573339327863
1.56	0.456	0.053	0.116228070175439	0.509246850710265
1.57	0.486	0.044	0.0905349794238683	0.539292927051199
1.58	0.443	0.055	0.124153498871332	0.488466457901469
1.59	0.43	0.058	0.134883720930233	0.471150264063287
1.6	0.54	0.07	0.12962962962963	0.587979094076655
1.61	0.496	0.046	0.092741935483871	0.536715216309217
1.62	0.544	0.063	0.115808823529412	0.585021723233105
1.63	0.423	0.064	0.151300236406619	0.452106624484299
1.64	0.445	0.049	0.110112359550562	0.47272031953769
1.65	0.526	0.061	0.115969581749049	0.555379579769824
1.66	0.398	0.043	0.108040201005025	0.417698669241426
1.67	0.394	0.03	0.0761421319796954	0.411024640614242
1.68	0.417	0.046	0.11031175059952	0.432429069188651
1.69	0.4	0.034	0.085	0.412345628105478
1.7	0.415	0.046	0.110843373493976	0.425292068046731
1.71	0.498	0.032	0.0642570281124498	0.507365975915398
1.72	0.456	0.073	0.160087719298246	0.461875050644194
1.73	0.375	0.048	0.128	0.377635898572033
1.74	0.478	0.066	0.138075313807531	0.478593455885298
1.75	0.463	0.041	0.0885529157667387	0.460925833748133
1.76	0.478	0.057	0.119246861924686	0.473154893886601
1.77	0.461	0.072	0.156182212581345	0.453749089549007
1.78	0.522	0.047	0.0900383141762452	0.510903182868105
1.79	0.511	0.043	0.0841487279843444	0.497342962256438
1.8	0.493	0.068	0.137931034482759	0.477158343012002
