"m"	"psipo"	"phipo"	"psinb"	"phinb"	"phinb.ind"	"psizip"	"phizip"	"psizinb"	"psizinb.ind"	"phizinb"	"phizinb.ind"
54.37	0.015296	1	0.03684072	0.9427852	0.5145436	8.883671e-07	1	0.00569581	0.01157961	0.9506493	0.07796832
54.38	0.01528424	1	0.03683086	0.9427873	0.514547	8.860933e-07	1	0.005694115	0.01157668	0.9506499	0.07796502
54.39	0.01527249	1	0.036821	0.9427894	0.5145505	8.838253e-07	1	0.00569242	0.01157375	0.9506505	0.07796171
54.4	0.01526076	1	0.03681114	0.9427915	0.514554	8.815632e-07	1	0.005690726	0.01157082	0.9506512	0.07795841
54.41	0.01524903	1	0.03680129	0.9427935	0.5145575	8.793068e-07	1	0.005689033	0.0115679	0.9506518	0.07795511
54.42	0.01523731	1	0.03679144	0.9427956	0.5145609	8.770562e-07	1	0.005687341	0.01156497	0.9506524	0.07795181
54.43	0.0152256	1	0.0367816	0.9427977	0.5145644	8.748114e-07	1	0.00568565	0.01156205	0.950653	0.07794851
54.44	0.0152139	1	0.03677176	0.9427998	0.5145679	8.725723e-07	1	0.005683959	0.01155912	0.9506536	0.07794521
54.45	0.0152022	1	0.03676192	0.9428019	0.5145714	8.703389e-07	1	0.00568227	0.0115562	0.9506542	0.07794192
54.46	0.01519052	1	0.03675209	0.942804	0.5145748	8.681113e-07	1	0.005680581	0.01155328	0.9506548	0.07793862
54.47	0.01517884	1	0.03674226	0.942806	0.5145783	8.658894e-07	1	0.005678893	0.01155036	0.9506554	0.07793532
54.48	0.01516718	1	0.03673244	0.9428081	0.5145818	8.636731e-07	1	0.005677205	0.01154744	0.950656	0.07793202
54.49	0.01515552	1	0.03672262	0.9428102	0.5145852	8.614625e-07	1	0.005675519	0.01154452	0.9506566	0.07792873
54.5	0.01514387	1	0.03671281	0.9428123	0.5145887	8.592576e-07	1	0.005673833	0.01154161	0.9506573	0.07792543
54.51	0.01513224	1	0.036703	0.9428144	0.5145922	8.570583e-07	1	0.005672148	0.01153869	0.9506579	0.07792214
54.52	0.01512061	1	0.03669319	0.9428164	0.5145956	8.548647e-07	1	0.005670464	0.01153578	0.9506585	0.07791885
54.53	0.01510899	1	0.03668339	0.9428185	0.5145991	8.526766e-07	1	0.005668781	0.01153286	0.9506591	0.07791555
54.54	0.01509737	1	0.03667359	0.9428206	0.5146025	8.504942e-07	1	0.005667098	0.01152995	0.9506597	0.07791226
54.55	0.01508577	1	0.0366638	0.9428227	0.514606	8.483174e-07	1	0.005665416	0.01152704	0.9506603	0.07790897
